,Bed_number,Bath_number,Square_foot,Price,Expected Price,Price Percentage Increase,Address,Latitude,Longitude
185,3.0,2.5,2000.0,4675.0,3831.5319369639055,1.22,"54 Mystic St, Medford, MA 02155",42.42096685,-71.12648336981123
186,6.0,3.0,2483.0,4600.0,6238.840300190513,0.737,"94 Monument St, Medford, MA 02155",42.41872065,-71.13416200258237
187,4.0,2.0,2000.0,4600.0,4351.674405608509,1.057,"50 Hamilton St , Medford, MA 02155",42.4130691,-71.12867831713854
188,2.0,1.0,1160.0,2800.0,2265.1745515770986,1.236,"37 Willard Ave , Medford, MA 02155",42.40296995918367,-71.10595032653062
189,3.0,2.0,1700.0,3900.0,3519.7259490936303,1.108,"132 Allston St, Medford, MA 02155",42.4239593,-71.12935652539474
190,3.0,2.5,1680.0,3850.0,3652.8572394182174,1.053,"97 Myrtle St, Medford, MA 02155",42.415315500000005,-71.08753659999999
191,2.0,2.0,1178.0,2900.0,2563.82192115643,1.131,"12 9th St , Medford, MA 02155",45.14017660113566,-90.32922253580035
192,4.0,1.0,1800.0,4400.0,3951.405801800068,1.113,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
193,3.0,3.0,2000.0,3975.0,3975.830395885099,0.999,"231 Spring St A, Medford, MA 02155",,
194,4.0,1.0,1460.0,4300.0,3761.5639356577744,1.143,"28 Hancock Ave A, Medford, MA 02155",,
195,4.0,1.0,2250.0,3400.0,4202.667095223691,0.809,"17 Stoughton St , Medford, MA 02155",42.415054,-71.12829314999999
196,5.0,2.0,1500.0,4350.0,4736.936118259169,0.918,"349 Salem St, Medford, MA 02155",42.42152055,-71.09624532919997
197,4.0,1.0,1900.0,4400.0,4007.241644783095,1.098,"27 Princeton St, Medford, MA 02155",42.406104,-71.109744
198,3.0,2.0,2000.0,4500.0,3687.2334780427127,1.22,"154 Lincoln Rd, Medford, MA 02155",42.427721399999996,-71.11657689773585
199,2.0,1.0,1000.0,2500.0,2175.8372028042545,1.148,"10 Wareham St , Medford, MA 02155",42.404059734763564,-71.10802733572598
200,2.0,2.0,875.0,3000.0,2394.6393169178564,1.252,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
201,2.0,1.0,950.0,2600.0,2147.9192813127406,1.21,"16 Emerald St , Medford, MA 02155",42.4215092,-71.09102972540164
202,2.0,2.5,1680.0,4150.0,2988.416311852421,1.388,"107 Myrtle St, Medford, MA 02155",42.415315500000005,-71.08753659999999
203,2.0,2.0,1193.0,2950.0,2572.197297603884,1.146,"22 9th St , Medford, MA 02155",45.14017660113566,-90.32922253580035
204,3.0,1.0,1314.0,3200.0,3015.6026773367576,1.061,"428 Main St , Medford, MA 02155",42.4033451,-71.1068391512818
205,6.0,5.0,2800.0,7000.0,6993.033758131482,1.0,"18 3rd St, Medford, MA 02155",42.329195166666665,-122.87631083333333
207,2.0,2.0,875.0,3200.0,2394.6393169178564,1.336,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
208,6.0,2.0,3599.0,7875.0,6573.371390038712,1.198,"14 Windsor Rd , Medford, MA 02155",42.4084747,-71.11000131723519
209,2.0,2.0,1200.0,3000.0,2576.105806612696,1.164,"30 Revere Beach Pkwy , Medford, MA 02155",42.405072000000004,-71.07939361654944
210,2.0,2.0,1150.0,3850.0,2548.1878851211823,1.51,"235 Winthrop St , Medford, MA 02155",42.4197734,-71.1172750306881
211,6.0,2.0,2500.0,8000.0,5959.73547565524,1.342,"53 Bristol Rd, Medford, MA 02155",42.40201505,-71.11435694577469
212,4.0,2.0,1719.0,4500.0,4194.775686826202,1.072,"118 Summer St , Medford, MA 02155",42.41553705,-71.11669516838828
213,6.0,2.0,1875.0,8000.0,5610.761457011319,1.425,"53 Bristol Rd , Medford, MA 02155",42.40201505,-71.11435694577469
214,3.0,2.0,1542.0,3800.0,3431.5053171804466,1.107,"696 Fulton St, Medford, MA 02155",42.44058125,-71.09458833543556
215,2.0,1.0,1000.0,2700.0,2175.8372028042545,1.24,"157 Spring St , Medford, MA 02155",42.418396440419635,-71.09214889481846
216,3.0,1.0,1500.0,3600.0,3119.4573452851887,1.154,"21 Hillsdale Rd , Medford, MA 02155",42.4125765,-71.12417468163045
217,3.0,1.0,1200.0,3900.0,2951.9498163361063,1.321,"58 Stanley Ave , Medford, MA 02155",42.409713499999995,-71.1121055242415
218,4.0,1.0,1800.0,4400.0,3951.405801800068,1.113,"19 Princeton St , Medford, MA 02155",42.4062512,-71.1094724587243
219,4.0,1.0,999.0,3600.0,3504.1606995060183,1.027,"10 Pinkham Rd , Medford, MA 02155",42.4143143,-71.12669505
220,5.0,5.5,999.0,6800.0,5467.287757362554,1.243,"62 Bradbury Ave , Medford, MA 02155",42.41042525,-71.08196263872017
221,5.0,2.0,1600.0,4595.0,4792.771961242196,0.958,"88 Winchester St , Medford, MA 02155",42.3999254,-71.10950779633436
222,5.0,2.0,1895.0,6000.0,4957.487698042127,1.21,"22 Harris Rd , Medford, MA 02155",42.4141615,-71.12770359999999
223,2.0,1.0,1100.0,3000.0,2231.673045787282,1.344,"246 Harvard St , Medford, MA 02155",42.403728349999994,-71.11096105
224,2.0,1.0,1000.0,2500.0,2175.8372028042545,1.148,"15 5th St , Medford, MA 02155",44.174595259812634,-93.24012269318038
225,2.0,1.5,1000.0,2500.0,2320.135661725448,1.077,"15 5th St , Medford, MA 02155",44.174595259812634,-93.24012269318038
226,2.0,2.0,700.0,2800.0,2296.9265916975587,1.219,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
227,4.0,1.0,1300.0,4600.0,3672.226586884931,1.252,"82 Quincy St , Medford, MA 02155",42.41044,-71.12707135180537
228,3.0,1.0,950.0,4200.0,2812.360208878538,1.493,"119 Burget Ave , Medford, MA 02155",42.40946036583219,-71.1176820460892
229,4.0,1.5,1300.0,4600.0,3816.525045806124,1.205,"82 Quincy St , Medford, MA 02155",42.41044,-71.12707135180537
230,5.0,2.0,1800.0,6500.0,4904.443647208251,1.325,"136 Burget Ave , Medford, MA 02155",42.409172600000005,-71.11707758222346
232,4.0,1.0,1800.0,4400.0,3951.405801800068,1.113,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
233,2.0,2.0,750.0,2795.0,2324.844513189072,1.202,"96-1 Bristol Rd , Medford, MA 02155",42.40152953812144,-71.11377045398778
234,2.0,1.0,916.0,3400.0,2128.9350946985114,1.597,"430 Main St , Medford, MA 02155",42.403247449999995,-71.1067920491202
235,3.0,1.0,1133.0,2700.0,2914.539801537478,0.926,"47 Orchard St , Medford, MA 02155",42.4141451,-71.12298448644859
236,2.0,1.0,1100.0,2500.0,2231.673045787282,1.12,"26 Madison St, Medford, MA 02155",42.42372695,-71.13314611083723
237,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace, Medford, MA 02155",42.41002335,-71.10747230000001
238,3.0,2.0,1485.0,4000.0,3399.6788866801207,1.176,"65 Quincy St , Medford, MA 02155",42.4112678,-71.12701219485396
239,1.0,1.0,680.0,2100.0,1332.72157769277,1.575,"34 Capen St , Medford, MA 02155",42.41111205,-71.12415555000001
240,4.0,1.0,1800.0,4400.0,3951.405801800068,1.113,"27 Princeton St, Medford, MA 02155",42.406104,-71.109744
241,5.0,2.0,2200.0,4345.0,5127.787019140361,0.847,"227 Boston Ave, Medford, MA 02155",42.414633550000005,-71.12682095
242,5.0,2.0,1999.0,4300.0,5015.556974744475,0.857,"217 Boston Ave , Medford, MA 02155",42.414829999999995,-71.12718724999999
244,2.0,1.0,1000.0,2900.0,2175.8372028042545,1.332,"30 Holton St , Medford, MA 02155",42.41841185,-71.13314854999999
245,2.0,1.0,1100.0,2700.0,2231.673045787282,1.209,"9 Willard Ave , Medford, MA 02155",42.402799,-71.10623234162045
246,4.0,3.0,2000.0,4100.0,4640.271323450896,0.883,"231 Spring St , Medford, MA 02155",42.4212858,-71.09150790337797
247,4.0,2.0,2500.0,6000.0,4630.853620523646,1.295,"39 Bonner Ave , Medford, MA 02155",42.4042209,-71.10557610000001
248,3.0,1.0,950.0,4200.0,2812.360208878538,1.493,"119 Burget Ave , Medford, MA 02155",42.40946036583219,-71.1176820460892
249,3.0,1.0,1000.0,4050.0,2840.2781303700517,1.425,"62 Frederick Ave , Medford, MA 02155",42.409228645622235,-71.11198637106239
250,2.0,1.0,1000.0,2800.0,2175.8372028042545,1.286,"30 Holton St , Medford, MA 02155",42.41841185,-71.13314854999999
251,5.0,5.5,2100.0,7995.0,6082.040388605686,1.314,"70 Stanley Ave, Medford, MA 02155",42.4097576,-71.11255370177545
252,4.0,4.5,2100.0,5300.0,5129.002543197503,1.033,"476 Fulton St, Medford, MA 02155",42.43545847758269,-71.0965652169319
253,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace, Medford, MA 02155",42.41002335,-71.10747230000001
254,2.0,1.0,750.0,3400.0,2036.247595346686,1.669,"430 Main St , Medford, MA 02155",42.403247449999995,-71.1067920491202
255,4.0,2.0,2000.0,5200.0,4351.674405608509,1.194,"7 Bonner Ave , Medford, MA 02155",42.40393265,-71.10682228004134
256,2.0,1.0,900.0,2750.0,2120.001359821227,1.297,"50 Hamilton St , Medford, MA 02155",42.4130691,-71.12867831713854
257,3.0,1.0,1000.0,2900.0,2840.2781303700517,1.021,"66 Kenmere Rd , Medford, MA 02155",42.41719005,-71.08739
258,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace , Medford, MA 02155",42.41002335,-71.10747230000001
259,2.0,1.0,730.0,2600.0,2025.0804267500805,1.283,"9 Circuit St , Medford, MA 02155",42.41921685,-71.13054613268612
260,2.0,1.0,1000.0,2800.0,2175.8372028042545,1.286,"190 Harvard St , Medford, MA 02155",42.40456064285678,-71.10912243625174
261,2.0,1.0,1100.0,3000.0,2231.673045787282,1.344,"246 Harvard St , Medford, MA 02155",42.403728349999994,-71.11096105
262,4.0,1.0,1800.0,4350.0,3951.405801800068,1.1,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
264,2.0,2.0,1226.0,3300.0,2590.623125788283,1.273,"3920 Mystic Valley Pkwy , Medford, MA 02155",42.40480368666233,-71.0854813626345
265,6.0,2.0,2700.0,8100.0,6071.407161621295,1.334,"60 Frederick Ave, Medford, MA 02155",42.409162949999995,-71.11199165
266,2.0,1.0,1100.0,3200.0,2231.673045787282,1.433,"22 Stanley Ave , Medford, MA 02155",42.409636899999995,-71.11085770179687
267,4.0,1.0,1500.0,4100.0,3783.8982728509854,1.083,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
268,4.0,1.0,1360.0,3695.0,3705.728092674747,0.997,"32 Touro Ave , Medford, MA 02155",42.41676099914465,-71.11518344790011
269,4.0,3.0,2100.0,4175.0,4696.107166433923,0.889,"40 Alexander Ave , Medford, MA 02155",42.40512435,-71.10595473734057
270,2.0,1.0,1000.0,2800.0,2175.8372028042545,1.286,"30 Holton St , Medford, MA 02155",42.41841185,-71.13314854999999
273,2.0,1.0,900.0,2950.0,2120.001359821227,1.391,"66 Morton Ave , Medford, MA 02155",42.40053135,-71.10970231838513
274,4.0,3.5,1930.0,5250.0,4745.48469228397,1.106,"217 Arlington St, Medford, MA 02155",42.4169505,-71.13235014183432
275,5.0,2.0,2500.0,5100.0,5295.294548089443,0.963,"270 Harvard St , Medford, MA 02155",42.40339325,-71.11176451821228
276,3.0,2.0,600.0,3250.0,2905.5316762803286,1.118,"26 Bradlee Rd , Medford, MA 02155",42.41945435494936,-71.11043
277,4.0,1.0,1900.0,4350.0,4007.241644783095,1.085,"27 Princeton St, Medford, MA 02155",42.406104,-71.109744
278,3.0,1.0,1200.0,3900.0,2951.9498163361063,1.321,"59 Quincy St, Medford, MA 02155",42.412305694541814,-71.12607275107683
279,3.0,1.0,950.0,4200.0,2812.360208878538,1.493,"119 Burget Ave , Medford, MA 02155",42.40946036583219,-71.1176820460892
280,6.0,5.5,2215.0,6975.0,6810.692535601965,1.024,"5 Malvern Terrace, Medford, MA 02155",42.41002335,-71.10747230000001
281,4.0,4.5,2000.0,5300.0,5073.166700214475,1.044,"470 Fulton St, Medford, MA 02155",42.4353973,-71.09673679785854
282,4.0,4.5,2100.0,5300.0,5129.002543197503,1.033,"479 Fulton St , Medford, MA 02155",42.43560465,-71.0962194258446
283,4.0,4.5,2100.0,5300.0,5129.002543197503,1.033,"479 Fulton St , Medford, MA 02155",42.43560465,-71.0962194258446
284,2.0,1.0,1000.0,2750.0,2175.8372028042545,1.263,"11 5th St , Medford, MA 02155",44.17466546374007,-93.24007873666726
285,2.0,1.0,950.0,2500.0,2147.9192813127406,1.163,"153 4th St , Medford, MA 02155",45.13941343177795,-90.34113945294105
286,2.0,1.0,1000.0,2750.0,2175.8372028042545,1.263,"11 5th St , Medford, MA 02155",44.17466546374007,-93.24007873666726
287,6.0,6.0,2215.0,7200.0,6954.9909945231575,1.035,"43 Wright Ave , Medford, MA 02155",42.4059878,-71.10614837032128
288,2.0,1.0,900.0,2750.0,2120.001359821227,1.297,"11 5th St , Medford, MA 02155",44.17466546374007,-93.24007873666726
289,2.0,1.5,1050.0,3000.0,2348.0535832169617,1.277,"29 Capen St , Medford, MA 02155",42.411356749999996,-71.12375043797928
290,4.0,1.0,1200.0,4600.0,3616.390743901903,1.271,"82 Quincy St , Medford, MA 02155",42.41044,-71.12707135180537
291,2.0,1.0,900.0,2700.0,2120.001359821227,1.273,"43 Orchard St, Medford, MA 02155",42.41398135,-71.12269475
292,6.0,1.5,2200.0,7000.0,5647.929487784964,1.239,"252 Harvard St , Medford, MA 02155",42.40371966666667,-71.11128233333334
293,5.0,2.0,1536.0,6500.0,4757.037021733058,1.366,"136 Burget Ave , Medford, MA 02155",42.409172600000005,-71.11707758222346
294,2.0,1.0,900.0,3000.0,2120.001359821227,1.415,"19 Berwick Rd , Medford, MA 02155",42.403984949999995,-71.11237964012543
295,2.0,1.0,900.0,3000.0,2120.001359821227,1.415,"19 Berwick Rd , Medford, MA 02155",42.403984949999995,-71.11237964012543
296,4.0,1.0,1600.0,4900.0,3839.7341158340128,1.276,"77 Pearson Rd, Somerville, MA 02144",42.40309195,-71.11533392344334
297,2.0,1.0,900.0,2950.0,2120.001359821227,1.391,"66 Morton Ave , Medford, MA 02155",42.40053135,-71.10970231838513
299,4.0,1.0,1000.0,3425.0,3504.7190579358485,0.977,"227 Boston Ave , Medford, MA 02155",42.414633550000005,-71.12682095
300,6.0,6.0,2700.0,7700.0,7225.79483299084,1.065,"174 Fulton St, Medford, MA 02155",42.42700815,-71.10069881532138
301,5.0,3.0,2500.0,5700.0,5583.89146593183,1.02,"11 Winter Hill Rd, Medford, MA 02155",42.39886923524611,-71.10612937833643
302,5.0,4.0,1850.0,5700.0,5509.555404384537,1.034,"103 Magoun Ave , Medford, MA 02155",42.415510113122195,-71.09560875338653
303,6.0,6.5,3000.0,8900.0,7537.6008208611165,1.18,"77 Winchester St, Medford, MA 02155",42.400305599999996,-71.11033823997175
304,4.0,1.0,1400.0,4800.0,3728.062429867958,1.287,"351 Boston Ave , Medford, MA 02155",42.41088405,-71.1211414764398
305,4.0,2.0,2500.0,7000.0,4630.853620523646,1.511,"39 Bonner Ave , Medford, MA 02155",42.4042209,-71.10557610000001
306,4.0,1.0,1500.0,4100.0,3783.8982728509854,1.083,"27 Princeton St , Medford, MA 02155",42.406104,-71.109744
307,3.0,1.0,1000.0,2900.0,2840.2781303700517,1.021,"66 Kenmere Rd A, Medford, MA 02155",,
308,3.0,1.0,1000.0,2900.0,2840.2781303700517,1.021,"66 Kenmere Rd T, Medford, MA 02155",,
309,2.0,1.0,1000.0,3400.0,2175.8372028042545,1.562,"430 Main St , Medford, MA 02155",42.403247449999995,-71.1067920491202
310,2.0,1.0,950.0,2500.0,2147.9192813127406,1.163,"15 5th St , Medford, MA 02155",44.174595259812634,-93.24012269318038
311,3.0,1.0,999.0,3150.0,2839.719771940221,1.109,"12 Pinkham Rd , Medford, MA 02155",42.414348625,-71.1267585
312,2.0,2.0,999.0,3200.0,2463.8757622168105,1.298,"26 Bradlee Rd, Medford, MA 02155",42.41945435494936,-71.11043
313,4.0,1.0,1494.0,5200.0,3780.548122272003,1.375,"12 Upland Rd, Somerville, MA 02144",42.40899485,-71.12419056213362
314,5.0,2.0,1855.0,7800.0,4935.153360848916,1.58,"15 Upland Rd, Somerville, MA 02144",42.40931975,-71.12416905
315,4.0,3.0,1494.0,4000.0,4357.741957956777,0.917,"512 Medford St, Somerville, MA 02145",42.39647993325364,-71.10384923716275
316,2.0,1.0,772.0,2250.0,2048.531480802952,1.098,"45 Moreland St, Somerville, MA 02145",42.3974397,-71.09727129999999
317,4.0,2.0,2400.0,5000.0,4575.017777540619,1.092,"58 Bromfield Rd, Somerville, MA 02144",42.403264300000004,-71.1165044181372
318,4.0,1.0,1494.0,4800.0,3780.548122272003,1.269,"64 Chetwynd Rd, Somerville, MA 02144",42.4087682,-71.12698895370714
319,2.0,1.0,900.0,2400.0,2120.001359821227,1.132,"45 Main St , Somerville, MA 02145",42.3962861,-71.09897143726083
320,5.0,2.0,1500.0,5000.0,4736.936118259169,1.055,"62 Woods Ave , Somerville, MA 02144",42.412245600000006,-71.12978678656316
321,5.0,2.0,1600.0,5000.0,4792.771961242196,1.043,"52 Woods Ave , Somerville, MA 02144",42.4121085,-71.12956014999999
322,1.0,2.0,1500.0,5200.0,2079.1724079959813,2.5,"179 College Ave , Somerville, MA 02144",42.4033733,-71.11683796816327
323,3.0,3.0,1150.0,3250.0,3501.2257305293656,0.928,"512 Medford St , Somerville, MA 02145",42.39647993325364,-71.10384923716275
324,5.0,2.0,1900.0,7800.0,4960.2794901912785,1.572,"15 Upland Rd , Somerville, MA 02144",42.40931975,-71.12416905
325,1.0,1.0,650.0,2400.0,1315.9708247978615,1.823,"454 Broadway , Somerville, MA 02145",42.396429,-71.10204324176853
326,3.0,1.0,1235.0,2995.0,2971.492361380166,1.007,"585 Broadway , Somerville, MA 02145",42.39879745,-71.10813345
327,2.0,1.0,450.0,1950.0,1868.7400663976036,1.043,"474 Broadway , Somerville, MA 02145",42.3967162,-71.10314235
328,4.0,1.5,1800.0,3800.0,4095.704260721261,0.927,"34 Bay State Ave, Somerville, MA 02144",42.399429100000006,-71.11488044103496
329,2.0,1.0,775.0,2250.0,2050.206556092443,1.097,"45 Moreland St , Somerville, MA 02145",42.3974397,-71.09727129999999
330,2.0,1.0,800.0,2500.0,2064.165516838199,1.211,"45 Main St , Somerville, MA 02145",42.3962861,-71.09897143726083
331,4.0,1.0,1000.0,6000.0,3504.7190579358485,1.711,"29 Bromfield Rd , Somerville, MA 02144",42.4024571,-71.115994
332,4.0,2.0,1200.0,4900.0,3904.9876617442897,1.254,"205 College Ave , Somerville, MA 02144",42.4043465,-71.11700441813721
333,3.0,3.0,1100.0,3300.0,3473.3078090378517,0.95,"512 Medford St , Somerville, MA 02145",42.39647993325364,-71.10384923716275
334,2.0,2.0,2000.0,3045.0,3022.7925504769155,1.007,"359 Lowell St , Somerville, MA 02145",42.395947,-71.1038563
335,4.0,1.0,1025.0,3900.0,3518.678018681605,1.108,"56 Gordon St , Somerville, MA 02144",42.4127986,-71.12952896363696
336,3.0,1.0,1200.0,3600.0,2951.9498163361063,1.219,"49 Conwell Ave , Somerville, MA 02144",42.40775605,-71.12699554844534
337,4.0,2.0,1494.0,5200.0,4069.14504011439,1.277,"179 College Ave , Somerville, MA 02144",42.4033733,-71.11683796816327
338,2.0,1.0,850.0,3200.0,2092.0834383297133,1.529,"114 Rogers Ave , Somerville, MA 02144",42.399017549999996,-71.1119819514247
339,1.0,1.0,600.0,2300.0,1288.052903306348,1.785,"78 Decatur St , Arlington, MA 02474",42.414129349999996,-71.13578900479476
340,3.0,1.0,1235.0,2995.0,2971.492361380166,1.007,"585 Broadway , Somerville, MA 02145",42.39879745,-71.10813345
341,2.0,1.0,1400.0,3400.0,2399.180574736364,1.417,"6 Hinckley St, Somerville, MA 02145",42.397250650000004,-71.1050818
342,6.0,3.0,4000.0,11200.0,7085.870038243039,1.58,"741 Broadway, Somerville, MA 02144",42.40061275,-71.11364682312308
343,1.0,1.0,375.0,1850.0,1162.422256594536,1.591,"22 Saint Mary St, Malden, MA 02148",42.424075099999996,-71.08813605
344,1.0,1.0,375.0,1800.0,1162.422256594536,1.548,"22 Saint Mary St, Malden, MA 02148",42.424075099999996,-71.08813605
345,3.0,1.0,1200.0,3150.0,2951.9498163361063,1.067,"115 Bartlett St, Somerville, MA 02145",42.39549875,-71.10046628767039
346,4.0,1.0,2800.0,5200.0,4509.764231630342,1.153,"64 Chetwynd Rd, Somerville, MA 02144",42.4087682,-71.12698895370714
347,6.0,2.0,3000.0,11700.0,6238.914690570377,1.875,"50 Curtis Ave, Somerville, MA 02144",42.4079824,-71.1266744932181
348,3.0,1.0,1235.0,2995.0,2971.492361380166,1.007,"585 Broadway M, Somerville, MA 02145",,
349,2.0,1.0,1000.0,2500.0,2175.8372028042545,1.148,"27 High St  High Street, Somerville, MA 02144",42.4101144,-71.12954808096848
350,2.0,1.0,1000.0,3100.0,2175.8372028042545,1.424,"482 Broadway, Somerville, MA 02145",42.39702346977971,-71.10360324567358
351,2.0,1.0,1200.0,3500.0,2287.5088887703096,1.53,"741 Broadway , Somerville, MA 02144",42.40061275,-71.11364682312308
352,3.0,1.0,1235.0,2995.0,2971.492361380166,1.007,"585 Broadway -bed SOMER, Somerville, MA 02145",,
353,6.0,1.5,2000.0,7000.0,5536.25780181891,1.264,"4 High St, Somerville, MA 02144",42.409333849999996,-71.12919966807038
354,3.0,1.0,1000.0,3750.0,2840.2781303700517,1.32,"2 High St, Somerville, MA 02144",42.409333849999996,-71.12919966807038
355,5.0,1.0,1800.0,6500.0,4615.846729365864,1.408,"24 Chetwynd Rd, Somerville, MA 02144",42.4081099,-71.12515841920961
356,4.0,1.0,1800.0,3800.0,3951.405801800068,0.961,"34 Bay State Ave, Somerville, MA 02144",42.399429100000006,-71.11488044103496
357,6.0,3.0,2000.0,11200.0,5969.15317858249,1.876,"741 Broadway, Somerville, MA 02144",42.40061275,-71.11364682312308
358,6.0,2.0,2400.0,7350.0,5903.899632672213,1.244,"268 Willow Ave -bed, Somerville, MA 02144",,
359,4.0,1.0,1350.0,4800.0,3700.144508376444,1.297,"24 Dearborn Rd -bed 1-bath #1, Somerville, MA 02144",,
360,1.0,1.0,750.0,2650.0,1371.8066677808893,1.931,"25 Moreland St , Somerville, MA 02145",42.396906900000005,-71.09771109785349
361,3.0,1.0,940.0,3300.0,2806.776624580235,1.175,"114 Rogers Ave , Somerville, MA 02144",42.399017549999996,-71.1119819514247
362,2.0,2.0,975.0,3800.0,2450.475159900884,1.55,"122 Highland Rd -104, Somerville, MA 02144",,
363,4.0,1.0,1958.0,4500.0,4039.626433713251,1.113,"79 Glenwood Rd , Somerville, MA 02145",42.3948985,-71.10195512312823
364,2.0,1.0,999.0,3000.0,2175.2788443744244,1.379,"121 Highland Rd , Somerville, MA 02144",42.39821805,-71.11110144504781
365,4.0,2.0,1494.0,5200.0,4069.14504011439,1.277,"179 College Ave , Somerville, MA 02144",42.4033733,-71.11683796816327
366,2.0,1.0,500.0,2750.0,1896.6579878891175,1.449,"77 Fairfax St , Somerville, MA 02144",42.4124231,-71.13052184808546
367,4.0,1.0,1600.0,4800.0,3839.7341158340128,1.25,"29 Bromfield Rd , Somerville, MA 02144",42.4024571,-71.115994
368,2.0,1.0,950.0,3400.0,2147.9192813127406,1.582,"114 Rogers Ave , Somerville, MA 02144",42.399017549999996,-71.1119819514247
369,4.0,1.0,1500.0,4800.0,3783.8982728509854,1.268,"24-1 Dearborn Rd , Somerville, MA 02144",42.405044399107545,-71.11649179824273
370,1.0,1.0,650.0,2300.0,1315.9708247978615,1.747,"118 Decatur St , Arlington, MA 02474",42.41418275,-71.13783365665802
371,2.0,1.0,974.0,3400.0,2161.3198836286674,1.573,"114 Rogers Ave , Somerville, MA 02144",42.399017549999996,-71.1119819514247
